,Character,Gender,speaking_turns,Total_Words,radius,diameter
1,Action Gnus 5 Beaver,male,1,10,3.16227766,6.32455532
2,Announcer,male,1,3,1.732050808,3.464101615
3,Beaver reporter 2,male,3,18,4.242640687,8.485281374
4,Benjamin Clawhauser,male,25,312,17.66352173,35.32704347
5,Bonnie Hopps,female,35,255,15.96871942,31.93743885
6,Bucky Oryx-Antlerson,male,4,25,5,10
7,Chief Bogo,male,48,547,23.38803113,46.77606225
8,Cotton,female,1,7,2.645751311,5.291502622
9,Dawn Bellwether,female,38,532,23.06512519,46.13025038
10,Dharma Armadillo,female,1,20,4.472135955,8.94427191
11,Doug,male,6,90,9.486832981,18.97366596
12,Dr. Madge Honey Badger,female,5,51,7.141428429,14.28285686
13,Duke Weaselton,male,11,158,12.56980509,25.13961018
14,Elephant Lady,female,1,5,2.236067977,4.472135955
15,Fabienne Growley,female,3,83,9.110433579,18.22086716
16,Female Leopard,female,1,4,2,4
17,Female offscreen reporter 1,female,1,6,2.449489743,4.898979486
18,Female offscreen reporter 2,female,1,5,2.236067977,4.472135955
19,Female offscreen reporter 3,female,1,8,2.828427125,5.656854249
20,Finnick,male,3,37,6.08276253,12.16552506
21,Flash Slothmore,male,28,61,7.810249676,15.62049935
22,Frantic Pig,male,3,33,5.744562647,11.48912529
23,Fru Fru,female,7,53,7.280109889,14.56021978
24,Gareth,male,2,6,2.449489743,4.898979486
25,Gary,male,1,4,2,4
26,Gazelle,female,10,129,11.35781669,22.71563338
27,Gideon Grey,male,13,223,14.93318452,29.86636905
28,Hippo Girl,female,1,8,2.828427125,5.656854249
30,Jaguar,male,1,21,4.582575695,9.16515139
31,Jerry Jumbeaux Jr.,male,6,87,9.327379053,18.65475811
32,Jesse,male,2,17,4.123105626,8.246211251
33,Judy Hopps,female,303,3114,55.80322571,111.6064514
34,Junior Ranger Scout 2,male,1,4,2,4
35,Larry,male,1,8,2.828427125,5.656854249
36,Leodore Lionheart,male,17,230,15.16575089,30.33150178
37,Major Friedkin,female,7,79,8.888194417,17.77638883
38,Male offscreen reporter 1,male,1,6,2.449489743,4.898979486
39,Male offscreen reporter 3,male,1,7,2.645751311,5.291502622
40,Moose,male,1,5,2.236067977,4.472135955
41,Mother rabbit,female,1,3,1.732050808,3.464101615
42,Mouse,female,1,6,2.449489743,4.898979486
43,Mouse Foreman,male,1,4,2,4
44,Mr. Big,male,14,257,16.03121954,32.06243908
45,Mrs. Otterton,female,8,84,9.16515139,18.33030278
46,Muzzled Wolf,male,1,7,2.645751311,5.291502622
47,Nangi,female,5,11,3.31662479,6.633249581
48,Nick Wilde,male,155,2303,47.9895822,95.97916441
49,Officer Francine,female,1,3,1.732050808,3.464101615
50,Officer Higgins,male,1,1,1,2
51,Officer McHorn,male,2,16,4,8
52,Offscreen character,male,1,8,2.828427125,5.656854249
53,Offscreen officer,male,1,1,1,2
54,Oryx reporter,female,1,9,3,6
55,Peter Moosebridge,male,2,32,5.656854249,11.3137085
56,Pig reporter,male,1,5,2.236067977,4.472135955
57,Priscilla Tripletoe,female,1,2,1.414213562,2.828427125
58,Pronk Oryx-Antlerson,male,5,26,5.099019514,10.19803903
59,Rabbit reporter,female,1,7,2.645751311,5.291502622
61,Renato Manchas,male,4,39,6.244997998,12.489996
62,Sharla,female,5,40,6.32455532,12.64911064
63,Stu Hopps,male,43,427,20.66397832,41.32795664
64,Travis,male,2,16,4,8
65,Woodchuck Boy,male,5,38,6.164414003,12.32882801
66,Woolter,male,3,14,3.741657387,7.483314774
67,Yax,male,14,223,14.93318452,29.86636905
